w-full src,font-bold,text-sm,mx-2,hidden,text-sm href,text-sm (2),text-sm (3),text-red-500,text-lg
https://media-cdn.factba.se/realdonaldtrump-twitter/695716589388308480.jpg,Donald Trump,@realDonaldTrump,•,"February 5, 2016 @ 4:12 PM ET",https://x.com/realdonaldtrump/status/695716589388308480,View on X,"Heading to South Carolina, really big crowd! Will be back in New Hampshire tomorrow.
#MakeAmericaGreatAgain",,
https://media-cdn.factba.se/realdonaldtrump-twitter/695707547395891202.jpg,Donald Trump,@realDonaldTrump,•,"February 5, 2016 @ 3:36 PM ET",https://x.com/realdonaldtrump/status/695707547395891202,View on X,Such great support in New Hampshire. So many people are working so hard to #MakeAmericaGreatAgain!,,
https://media-cdn.factba.se/realdonaldtrump-twitter/695705786903830528.jpg,Donald Trump,@realDonaldTrump,•,"February 5, 2016 @ 3:29 PM ET",https://x.com/realdonaldtrump/status/695705786903830528,View on X,"I very much look forward to tomorrow’s debate in New Hampshire—so many things to say, so much at stake. It will be an incredible evening!",,
https://media-cdn.factba.se/realdonaldtrump-twitter/695664927483240448.jpg,Donald Trump,@realDonaldTrump,•,"February 5, 2016 @ 12:46 PM ET",https://x.com/realdonaldtrump/status/695664927483240448,View on X,Live Free or Die: A motto for the whole country to follow. #NewHampshire #FITN #VoteTrumpNH https://www.facebook.com/DonaldTrump/videos/10156608890980725/ …,,
https://media-cdn.factba.se/realdonaldtrump-twitter/695650797615521792.jpg,Donald Trump,@realDonaldTrump,•,"February 5, 2016 @ 11:50 AM ET",https://x.com/realdonaldtrump/status/695650797615521792,View on X,Big storm in New Hampshire. Moved my event to Monday. Will be there next four days.,,
https://media-cdn.factba.se/realdonaldtrump-twitter/695646188297699328.jpg,Donald Trump,@realDonaldTrump,•,"February 5, 2016 @ 11:32 AM ET",https://x.com/realdonaldtrump/status/695646188297699328,View on X,"Join us Monday, February 8th @ the Verizon Wireless Arena in Manchester, New Hampshire! #FITN #NHPolitics #Trump2016 https://www.eventbrite.com/e/donald-j-trump-in-manchester-nh-tickets-20922675285 …",,
https://media-cdn.factba.se/realdonaldtrump-twitter/695425318476083200.jpg,Donald Trump,@realDonaldTrump,•,"February 4, 2016 @ 8:54 PM ET",https://x.com/realdonaldtrump/status/695425318476083200,View on X,"""@rkswaney7: @CNN @realDonaldTrump I agree. Great businessman. I like your tone tonight! Keep it up & you'll have this Democrats vote.""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/695412367136436225.jpg,Donald Trump,@realDonaldTrump,•,"February 4, 2016 @ 8:03 PM ET",https://x.com/realdonaldtrump/status/695412367136436225,View on X,Watch @AC360 on NOW! @CNN,,
https://media-cdn.factba.se/realdonaldtrump-twitter/695373506976976901.jpg,Donald Trump,@realDonaldTrump,•,"February 4, 2016 @ 5:28 PM ET",https://x.com/realdonaldtrump/status/695373506976976901,View on X,I will be interviewed by Anderson Cooper at 8pm on @CNN from New Hampshire. Should be very interesting!,,
https://media-cdn.factba.se/realdonaldtrump-twitter/695278741048684544.jpg,Donald Trump,@realDonaldTrump,•,"February 4, 2016 @ 11:12 AM ET",https://x.com/realdonaldtrump/status/695278741048684544,View on X,"Taking a helicopter to New Hampshire, boarding now. Amazing activity planned. New UMASS poll, very nice! pic.twitter.com/xFvGE0dRlA",,
https://media-cdn.factba.se/realdonaldtrump-twitter/695252170535477249.jpg,Donald Trump,@realDonaldTrump,•,"February 4, 2016 @ 9:26 AM ET",https://x.com/realdonaldtrump/status/695252170535477249,View on X,"Politicians are trying to chip away at the 2nd Amendment. I won’t let them take away our guns! #Trump2016
Watch: https://www.facebook.com/DonaldTrump/videos/10156604838290725/ …",,
https://media-cdn.factba.se/realdonaldtrump-twitter/695134210273775617.jpg,Donald Trump,@realDonaldTrump,•,"February 4, 2016 @ 1:38 AM ET",https://x.com/realdonaldtrump/status/695134210273775617,View on X,"This is the Cruz voter violation certificate sent to everyone, a misdemeanor at minimum. pic.twitter.com/tMav17UGkf",,
https://media-cdn.factba.se/realdonaldtrump-twitter/695133873139752960.jpg,Donald Trump,@realDonaldTrump,•,"February 4, 2016 @ 1:36 AM ET",https://x.com/realdonaldtrump/status/695133873139752960,View on X,".@oreillyfactor @KarlRove- as per the show, an even more serious Cruz charge is the fraudulent voter violation certificate sent to everyone.",,
